12.0	540.0	570.0
12.0	540.0	570.0
400.0	400.0	400.0
12.0	540.0	570.0
196.0	20.0	10.0
12.0	540.0	570.0
400.0	400.0	400.0
4.0	180.0	190.0
592.0	240.0	220.0
196.0	20.0	10.0
600.0	600.0	600.0
200.0	200.0	200.0
0.0	0.0	0.0
0.0	0.0	0.0
400.0	400.0	400.0
392.0	40.0	20.0
208.0	560.0	580.0
200.0	200.0	200.0
396.0	220.0	210.0
596.0	420.0	410.0
600.0	600.0	600.0
392.0	40.0	20.0
404.0	580.0	590.0
400.0	400.0	400.0
196.0	20.0	10.0
196.0	20.0	10.0
588.0	60.0	30.0
392.0	40.0	20.0
600.0	600.0	600.0
592.0	240.0	220.0
0.0	0.0	0.0
200.0	200.0	200.0
8.0	360.0	380.0
200.0	200.0	200.0
392.0	40.0	20.0
200.0	200.0	200.0
596.0	420.0	410.0
404.0	580.0	590.0
12.0	540.0	570.0
204.0	380.0	390.0
196.0	20.0	10.0
400.0	400.0	400.0
396.0	220.0	210.0
400.0	400.0	400.0
404.0	580.0	590.0
0.0	0.0	0.0
200.0	200.0	200.0
404.0	580.0	590.0
588.0	60.0	30.0
396.0	220.0	210.0
4.0	180.0	190.0
588.0	60.0	30.0
392.0	40.0	20.0
600.0	600.0	600.0
8.0	360.0	380.0
596.0	420.0	410.0
196.0	20.0	10.0
8.0	360.0	380.0
12.0	540.0	570.0
396.0	220.0	210.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
404.0	580.0	590.0
204.0	380.0	390.0
208.0	560.0	580.0
208.0	560.0	580.0
8.0	360.0	380.0
204.0	380.0	390.0
204.0	380.0	390.0
200.0	200.0	200.0
4.0	180.0	190.0
596.0	420.0	410.0
400.0	400.0	400.0
200.0	200.0	200.0
404.0	580.0	590.0
588.0	60.0	30.0
600.0	600.0	600.0
592.0	240.0	220.0
588.0	60.0	30.0
12.0	540.0	570.0
596.0	420.0	410.0
588.0	60.0	30.0
404.0	580.0	590.0
8.0	360.0	380.0
8.0	360.0	380.0
600.0	600.0	600.0
200.0	200.0	200.0
204.0	380.0	390.0
600.0	600.0	600.0
588.0	60.0	30.0
588.0	60.0	30.0
204.0	380.0	390.0
208.0	560.0	580.0
596.0	420.0	410.0
404.0	580.0	590.0
196.0	20.0	10.0
600.0	600.0	600.0
396.0	220.0	210.0
392.0	40.0	20.0
0.0	0.0	0.0
400.0	400.0	400.0
400.0	400.0	400.0
588.0	60.0	30.0
596.0	420.0	410.0
596.0	420.0	410.0
12.0	540.0	570.0
592.0	240.0	220.0
396.0	220.0	210.0
4.0	180.0	190.0
404.0	580.0	590.0
8.0	360.0	380.0
208.0	560.0	580.0
12.0	540.0	570.0
12.0	540.0	570.0
8.0	360.0	380.0
4.0	180.0	190.0
4.0	180.0	190.0
392.0	40.0	20.0
400.0	400.0	400.0
8.0	360.0	380.0
196.0	20.0	10.0
396.0	220.0	210.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
400.0	400.0	400.0
588.0	60.0	30.0
600.0	600.0	600.0
0.0	0.0	0.0
204.0	380.0	390.0
8.0	360.0	380.0
596.0	420.0	410.0
392.0	40.0	20.0
396.0	220.0	210.0
596.0	420.0	410.0
208.0	560.0	580.0
208.0	560.0	580.0
8.0	360.0	380.0
396.0	220.0	210.0
12.0	540.0	570.0
588.0	60.0	30.0
392.0	40.0	20.0
596.0	420.0	410.0
392.0	40.0	20.0
600.0	600.0	600.0
4.0	180.0	190.0
596.0	420.0	410.0
200.0	200.0	200.0
12.0	540.0	570.0
204.0	380.0	390.0
392.0	40.0	20.0
